id,version,block,trial,side,rt,is_opt
bcf7a4d7616612d2,1,1,1,left,1058,0
bcf7a4d7616612d2,1,1,2,right,5323,1
bcf7a4d7616612d2,1,1,3,left,7627,0
bcf7a4d7616612d2,1,1,4,left,3217,1
bcf7a4d7616612d2,1,1,5,right,9619,0
bcf7a4d7616612d2,1,1,6,left,5382,1
bcf7a4d7616612d2,1,1,7,left,1875,1
bcf7a4d7616612d2,1,1,8,left,2659,1
bcf7a4d7616612d2,1,1,9,left,5035,0
bcf7a4d7616612d2,1,1,10,left,4038,0
bcf7a4d7616612d2,1,1,11,right,4413,0
bcf7a4d7616612d2,1,1,12,left,8648,0
bcf7a4d7616612d2,1,1,13,right,7730,0
bcf7a4d7616612d2,1,1,14,right,5977,0
bcf7a4d7616612d2,1,1,15,left,5833,1
bcf7a4d7616612d2,1,1,16,left,4087,0
bcf7a4d7616612d2,1,1,17,left,4502,1
bcf7a4d7616612d2,1,1,18,left,5656,0
bcf7a4d7616612d2,1,1,19,left,1452,1
bcf7a4d7616612d2,1,1,20,left,3470,1
bcf7a4d7616612d2,1,1,21,left,10173,0
bcf7a4d7616612d2,1,1,22,left,12754,1
bcf7a4d7616612d2,1,1,23,left,11098,0
bcf7a4d7616612d2,1,1,24,left,5204,0
bcf7a4d7616612d2,1,1,25,left,9690,0
bcf7a4d7616612d2,1,1,26,left,9052,0
bcf7a4d7616612d2,1,1,27,left,10123,0
bcf7a4d7616612d2,1,1,28,left,3716,1
bcf7a4d7616612d2,1,1,29,left,7099,1
bcf7a4d7616612d2,1,1,30,right,9299,0
bcf7a4d7616612d2,1,1,31,right,1601,0
bcf7a4d7616612d2,1,1,32,left,8794,0
bcf7a4d7616612d2,1,1,33,left,1902,0
bcf7a4d7616612d2,1,1,34,left,8285,0
bcf7a4d7616612d2,1,1,35,right,4292,0
bcf7a4d7616612d2,1,1,36,left,9536,0
bcf7a4d7616612d2,1,1,37,right,4812,1
bcf7a4d7616612d2,1,1,38,left,4638,0
bcf7a4d7616612d2,1,1,39,right,10558,0
bcf7a4d7616612d2,1,1,40,left,3901,1
bcf7a4d7616612d2,1,2,1,right,7451,0
bcf7a4d7616612d2,1,2,2,left,7063,1
bcf7a4d7616612d2,1,2,3,right,3030,1
bcf7a4d7616612d2,1,2,4,right,7816,0
bcf7a4d7616612d2,1,2,5,left,4588,1
bcf7a4d7616612d2,1,2,6,left,4788,1
bcf7a4d7616612d2,1,2,7,left,6002,0
bcf7a4d7616612d2,1,2,8,left,4494,0
bcf7a4d7616612d2,1,2,9,left,5230,1
bcf7a4d7616612d2,1,2,10,right,4002,1
bcf7a4d7616612d2,1,2,11,right,2731,1
bcf7a4d7616612d2,1,2,12,left,6367,0
bcf7a4d7616612d2,1,2,13,left,5286,1
bcf7a4d7616612d2,1,2,14,right,7878,0
bcf7a4d7616612d2,1,2,15,right,3262,0
bcf7a4d7616612d2,1,2,16,left,9563,0
bcf7a4d7616612d2,1,2,17,left,4829,0
bcf7a4d7616612d2,1,2,18,left,2484,1
bcf7a4d7616612d2,1,2,19,left,2460,0
bcf7a4d7616612d2,1,2,20,left,8991,0
bcf7a4d7616612d2,1,2,21,left,7214,0
bcf7a4d7616612d2,1,2,22,right,3899,1
bcf7a4d7616612d2,1,2,23,right,2770,0
bcf7a4d7616612d2,1,2,24,left,5453,0
bcf7a4d7616612d2,1,2,25,left,1877,1
bcf7a4d7616612d2,1,2,26,right,8323,0
bcf7a4d7616612d2,1,2,27,left,6358,0
bcf7a4d7616612d2,1,2,28,right,3387,0
bcf7a4d7616612d2,1,2,29,right,6202,0
bcf7a4d7616612d2,1,2,30,right,5075,0
bcf7a4d7616612d2,1,2,31,left,18245,0
bcf7a4d7616612d2,1,2,32,left,4140,0
bcf7a4d7616612d2,1,2,33,left,6077,0
bcf7a4d7616612d2,1,2,34,left,3007,0
bcf7a4d7616612d2,1,2,35,right,12124,0
bcf7a4d7616612d2,1,2,36,left,3448,0
bcf7a4d7616612d2,1,2,37,left,11973,0
bcf7a4d7616612d2,1,2,38,left,7932,1
bcf7a4d7616612d2,1,2,39,right,11484,0
bcf7a4d7616612d2,1,2,40,left,2605,1
bcf7a4d7616612d2,1,3,1,left,9672,0
bcf7a4d7616612d2,1,3,2,right,8627,0
bcf7a4d7616612d2,1,3,3,right,5001,0
bcf7a4d7616612d2,1,3,4,right,11663,0
bcf7a4d7616612d2,1,3,5,right,1603,0
bcf7a4d7616612d2,1,3,6,left,7533,0
bcf7a4d7616612d2,1,3,7,right,3604,1
bcf7a4d7616612d2,1,3,8,left,5394,1
bcf7a4d7616612d2,1,3,9,left,4763,1
bcf7a4d7616612d2,1,3,10,left,7835,0
bcf7a4d7616612d2,1,3,11,left,12065,0
bcf7a4d7616612d2,1,3,12,left,4574,0
bcf7a4d7616612d2,1,3,13,left,9993,0
bcf7a4d7616612d2,1,3,14,left,1941,1
bcf7a4d7616612d2,1,3,15,left,14290,0
bcf7a4d7616612d2,1,3,16,left,2527,0
bcf7a4d7616612d2,1,3,17,right,8402,0
bcf7a4d7616612d2,1,3,18,left,5018,1
bcf7a4d7616612d2,1,3,19,left,2932,1
bcf7a4d7616612d2,1,3,20,right,6821,0
bcf7a4d7616612d2,1,3,21,right,2281,0
bcf7a4d7616612d2,1,3,22,left,5749,0
bcf7a4d7616612d2,1,3,23,left,5492,1
bcf7a4d7616612d2,1,3,24,left,3492,0
bcf7a4d7616612d2,1,3,25,left,11822,0
bcf7a4d7616612d2,1,3,26,left,5998,1
bcf7a4d7616612d2,1,3,27,left,6614,1
bcf7a4d7616612d2,1,3,28,left,6669,0
bcf7a4d7616612d2,1,3,29,left,28184,1
bcf7a4d7616612d2,1,3,30,left,4831,1
bcf7a4d7616612d2,1,3,31,left,7482,0
bcf7a4d7616612d2,1,3,32,left,3629,0
bcf7a4d7616612d2,1,3,33,right,4046,0
bcf7a4d7616612d2,1,3,34,right,1769,0
bcf7a4d7616612d2,1,3,35,right,13650,1
bcf7a4d7616612d2,1,3,36,right,8518,0
bcf7a4d7616612d2,1,3,37,right,10432,1
bcf7a4d7616612d2,1,3,38,right,3841,1
bcf7a4d7616612d2,1,3,39,left,10709,0
bcf7a4d7616612d2,1,3,40,right,5525,1
